col1,col2,col3,target
2,23.0,1,1
2,76.2,23,1
2,23.0,4,0
2,3.0,23,0
3,3.0,45,1
3,34.0,18,1
4,3.0,12,1
32,56.4,23,0
76,56.0,34,0
45,6.0,23,0
64,8.0,32,1
5,74.3,43,0
5,4.0,54,1
56,52.0,12,0
5,4.0,23,1
67,35.0,67,0
86,67.0,87,0
8,8.0,65,1
9,4.0,34,1
57,5.0,23,0
43,3.0,34,0
42,26.0,56,1
23,3.0,67,0
54,3.0,4,1
67,4.0,47,1
56,6.0,36,0
7,64.5,,0
89,76.2,14,0
8,5.0,25,1
91,45.6,36,0
42,76.2,47,1
91,4.0,58,0
42,4.0,96,1
4,4.0,9,0
56,5.0,78,0
8,6.0,67,1
6,3.0,564,1
42,4.0,122,0
9,5.0,34,0
34,4.0,,1
76,3.0,12,0
5,45.0,5,1
34,6.0,7,1
4,7.0,89,0
57,8.0,65,0
6,23.5,53,0
87,76.0,42,1
59,54.0,31,0
2,3.0,23,1
2,23.0,16,0
34,4.0,27,1
5,5.0,73,0
6,67.0,84,0
7,6.0,95,1
8,76.2,74,1
91,4.0,63,0
7,4.0,52,0
91,4.0,1,1
3,5.0,2,0
4,6.0,453,1
5,3.0,34,1
4,4.0,23,0
3,5.0,12,0
45,4.0,5,0
6,3.0,,1
7,45.0,89,0
8,6.0,65,1
42,7.0,53,0
76,8.0,42,1
54,23.5,31,0
3,76.0,23,0
23,54.0,16,1
4,3.0,27,1
5,23.0,No Data,0
67,4.0,84,0
6,5.0,95,1
54,67.0,Data missing,0
42,6.0,63,1
56,34.0,52,1
7,23.0,1,0
8,12.0,2,0
